Label,Section,Number of samples,Average Current (uA),Total Current (uA),Total time(ms),Energy consumption (joules)
no_tls_20_1416B,total,31285403,2342.9064400663283,73327038332.83006,312854.03413932974,3.5256709879655372
no_tls_20_1416B,setup,1156910,25999.896785040248,30241181224.453773,11569.102000206105,1.4468261525036243
no_tls_20_1416B,compute,37530,42923.108135355644,920399174.8286976,375.2999999999487,0.07748449434417647
no_tls_20_1416B,sleep,28100585,5.9126514041494795,166153252.54950184,281005.8581096688,0.007991765368141805
no_tls_20_1416B,modem,1326703,30126.49324147703,39972335863.68785,13267.030000243167,1.922504521153002
no_tls_20_1416B,system,663674,3054.161520834881,2026968816.6495528,6636.744000098444,0.09749719999540302
no_tls_20_2048B,total,31166232,2312.768327624406,72081053786.59364,311662.3241382198,3.4670612379891006
no_tls_20_2048B,setup,1037647,25620.894017462764,26579023858.013817,10376.478000180074,1.2787608333934801
no_tls_20_2048B,compute,37609,42815.98962633083,918026022.9019257,376.08999999994796,0.07745382124049541
no_tls_20_2048B,sleep,28018833,6.0264210721414155,168849615.90169483,280188.33410890744,0.008121843156850592
no_tls_20_2048B,modem,1390632,30454.294500526896,42346654289.48731,13906.326000257124,2.0370703411487123
no_tls_20_2048B,system,681509,3036.156080429151,2068499999.6217494,6815.096000102337,0.09952705371680584
no_tls_25_256B,total,34886620,2466.882415368119,86063760606.51265,348866.20817286865,4.139543307580033
no_tls_25_256B,setup,1199857,25965.236730634428,31171588322.798473,11998.57400021548,1.4985353670024812
no_tls_25_256B,compute,751735,17412.99415057199,7576176544.832291,7517.354000113744,0.6296272743247635
no_tls_25_256B,sleep,28099184,5.552402481313108,156017608.7001225,280991.8461096558,0.007504464951362098
no_tls_25_256B,modem,1283007,29866.297805100545,38318027024.12882,12830.07600023363,1.8431288479950942
no_tls_25_256B,system,3552835,2488.702752283457,8841951105.080338,35528.35799825095,0.42529790242826726
no_tls_25_708B,total,34850507,2456.3551077872307,85615095151.4516,348505.0781725324,4.117611220811251
no_tls_25_708B,setup,1162788,25889.128988618806,30192451896.078808,11627.88400020739,1.447982143868577
no_tls_25_708B,compute,751636,17426.25537252531,7592808843.405024,7516.364000113723,0.6300237977718087
no_tls_25_708B,sleep,28083629,5.458527776331231,153294838.94664127,280836.29210951086,0.007373502492202671
no_tls_25_708B,modem,1297012,29951.74293016848,38847443780.922134,12970.124000236687,1.8685783133702638
no_tls_25_708B,system,3555441,2483.2612050968937,8829095791.200657,35554.41399825626,0.42467921433827205
no_tls_25_1024B,total,34830618,2511.9505444819088,87500044377.34462,348306.1881723471,4.208403290514797
no_tls_25_1024B,setup,1139557,25751.71578162685,29387818099.98702,11395.572000202319,1.4115211056409032
no_tls_25_1024B,compute,752254,17341.34444636542,7557633751.874904,7522.54200011385,0.6274692712132418
no_tls_25_1024B,sleep,28001671,5.2804426388019525,147862283.7209445,280016.71210874757,0.007112124615603537
no_tls_25_1024B,modem,1373762,30239.32340247048,41551762002.78583,13737.628000253442,1.9981537299948133
no_tls_25_1024B,system,3563373,2485.000058034091,8854968238.127794,35633.73399827242,0.42592468736819283
no_tls_25_1416B,total,34776475,2439.6064834230774,84843096715.07907,347764.7581718429,4.0808480535494365
no_tls_25_1416B,setup,1086648,25089.90723564687,27278974505.362923,10866.484000190769,1.3113939533590753
no_tls_25_1416B,compute,752088,17710.037080962462,7837163418.308031,7520.884000113816,0.6406685970586745
no_tls_25_1416B,sleep,28025617,5.202639788252014,145807201.02434066,280256.17810897063,0.0070133260464705655
no_tls_25_1416B,modem,1350403,30143.316885193944,40712783040.284386,13504.03200024834,1.9579408790522814
no_tls_25_1416B,system,3561718,2489.9134777202544,8868368549.196507,35617.17999826905,0.42656858024233696
no_tls_25_2048B,total,34745693,2439.222914736496,84758287755.43997,347456.9301715562,4.076594797660185
no_tls_25_2048B,setup,1053225,25048.86095522901,26446611474.95472,10532.258000183476,1.2689793283796442
no_tls_25_2048B,compute,752771,17460.17097827496,7658709924.417171,7527.7180001139595,0.6322035205530757
no_tls_25_2048B,sleep,27995030,5.193110684777298,145381286.73655254,279950.3061086858,0.006992840173385115
no_tls_25_2048B,modem,1377468,30248.000630122977,41664104947.95882,13774.682000254252,2.0041181970507185
no_tls_25_2048B,system,3567196,2479.1123641815016,8843480120.477516,35671.965998280204,0.42537144553240314
no_tls_e2e_10_256B,total,31141636,2195.2603186527112,68375473522.46533,311416.36413799075,3.2883083363696364
no_tls_e2e_10_256B,setup,1126991,25235.73514398944,28546134771.058067,11269.914000199575,1.367985956710006
no_tls_e2e_10_256B,compute,15242,34370.57602866796,112959570.09977238,152.42000000000655,0.02519845098377391
no_tls_e2e_10_256B,sleep,28153291,5.1720494913749135,145609998.17826,281532.91211015964,0.007003851364995164
no_tls_e2e_10_256B,modem,1267876,29786.88974550379,37765668027.93807,12678.766000230327,1.8165494338475128
no_tls_e2e_10_256B,system,578235,3121.8897414949784,1805101154.5718963,5782.352000079795,0.0868294725295656
no_tls_e2e_10_708B,total,31147418,2276.335022618145,70904502574.17096,311474.1841380446,3.4103842471152004
no_tls_e2e_10_708B,setup,1132002,25455.411300474523,28830939199.522575,11320.02400020067,1.3860297195790479
no_tls_e2e_10_708B,compute,16016,36225.64695675405,118697321.02858289,160.1659999999995,0.02790818262798692
no_tls_e2e_10_708B,sleep,28078560,5.169584553332878,145154433.0355884,280785.6001094637,0.006981930974407333
no_tls_e2e_10_708B,modem,1338977,29873.966963325347,40001010683.73092,13389.774000245849,1.9240272540840355
no_tls_e2e_10_708B,system,581862,3108.6660465046502,1808700936.1223373,5818.620000080586,0.08700398433678196
no_tls_e2e_10_1024B,total,31638764,2766.130152525488,87788050754.80363,316387.64014262066,4.209564772080304
no_tls_e2e_10_1024B,setup,1622844,27255.600302936007,45124135677.84377,16228.44599990437,2.1275401413907478
no_tls_e2e_10_1024B,compute,16516,34478.86910988265,124344017.45075166,165.16199999999498,0.027391021093445336
no_tls_e2e_10_1024B,sleep,28069895,5.1608611667540485,144864988.61370918,280698.954109383,0.006967998476013754
no_tls_e2e_10_1024B,modem,1348683,30091.058418921246,40583379678.57698,13486.832000247965,1.9520569686031184
no_tls_e2e_10_1024B,system,580824,3118.633611391865,1811326391.3881745,5808.24600008036,0.08712733566758907
no_tls_e2e_10_1416B,total,31257659,2412.306935202185,75423643992.02965,312576.59613907133,3.6268876220177173
no_tls_e2e_10_1416B,setup,1241064,25846.355338264308,32131395132.91941,12410.644000224476,1.5429032902192639
no_tls_e2e_10_1416B,compute,17191,36136.937999674985,129926789.56594093,171.91399999998882,0.029881863140116215
no_tls_e2e_10_1416B,sleep,28030185,5.233606231569725,146672016.36410785,280301.8581090132,0.0070562197418487385
no_tls_e2e_10_1416B,modem,1368765,30057.44424588909,41156917389.35506,13687.650000252348,1.9789098861185763
